name,price,status,shipping,free_returns,items_sold
"Windows 10 PRO Laptop Notebook PC Computer Dual core, 4GB Ram, 250GB HDD DVDRW",12999,Pre-Owned · 250 GB,0,True,227
Lenovo ThinkPad L13 Yoga Laptop Touchscreen Core i5 8GB RAM 256GB SSD Win 11,19999,Good - Refurbished · Lenovo,0,True,219
"15.6"" DELL Latitude Laptop: Intel i5! 16GB RAM! 256GB SSD! Zorin Core Edition!",15500,Stop Planned Obsolescence w Zorin OS! 1 Year Warranty!,0,True,256
"HP 14-ep2011wm 14"" HD N150 0.8GHz Intel UHD Graphics 4GB RAM 128GB SSD Win 11",15700,Home Tranquil Pink,0,True,1008
Panasonic Toughbook CF-33 Core i5 7300U 2.6GHz 16GB 256gb NVME SSD W11 Pro LTE,38999,Good - Refurbished · Panasonic,0,True,57
"HP EliteBook 14"" 32GB 512GB, Silver",29999,Excellent - Refurbished · HP · 512 GB,0,True,
"HP ProBook x360 11 G2 EE 11.6"" Intel Celeron N4000 4GB RAM 32GB | VERY GOOD |",4999,Very Good - Refurbished · HP,0,True,57
"Dell Touchscreen Chromebook 3100 11"" Celeron 1.1GHz/4GB/32GB P30T001 w/Warranty",5900,Good - Refurbished · Dell,0,True,1162
Dell Latitude 3120 2-in-1 Touch Laptop Intel Pentium 4GB RAM 128GB SSD Win 11,12830,Good - Refurbished · Dell,0,True,1191
"HP 15.6"" FHD Laptop, 6-Core Intel i3 Up to 4.4GHz 32GB RAM & 1TB SSD, Win 11 Pro",37900,Brand New,0,True,
"Dell Inspiron 15 15.6"" FHD Touch  AMD Ryzen 7 7730U, 16GB 512GB SSD,Win11 Laptop",34999,Very Good - Refurbished · Dell · 512 GB,0,True,14
"LENOVO Ideapad 14W, 81MQ, Touchscreen, AMD A6-9220C, 8GB RAM, 256GB, WIN 11 OS",11995,Pre-Owned · Lenovo · 256 GB,994,,355
"HP 14-dq6012dx 14"" Laptop Intel N150 4GB RAM 128GB UFS Windows 11 S Blue Renewed",12999,Certified - Refurbished · HP · 128 GB,0,True,16
"[90% NEW] AOC 15.6"" Laptop Intel N97 16GB DDR4 RAM 512GB SSD WIFI BT win11 Pro",20999,Certified - Refurbished · Acemagic,0,True,109
"16"" Laptop Intel Celeron N95 16GB RAM 512GB SSD Win11 Pro Backlit Keyboard",16999,Pre-Owned · 512 GB,0,True,
"Acer Aspire 14 AI Laptop 14"" Ultra 7 258V 32GB LPDDR5X RAM 1TB SSD Refurbished",53999,Certified - Refurbished · Acer,0,True,454
"Apple MGN63LL/A MacBook Air 13.3"" WQXGA Apple M1 3.2GHz Apple M1 8GB RAM 256GB",37900,SSD MacOS Space Gray,0,True,753
"NIMO15.6"" Laptop Intel Pentium Quad Core N100 8GB Memory 128GB SSD Fingerprint",15999,Open Box · 128 GB,0,True,157
"HP ZBook Studio G7 15""- i7 2.7GHz - 32GB RAM - 1TB SSD - Grade D",24999,Pre-Owned · HP,0,True,124
"2026 HP Laptop 15.6"" Office 2024 8-Core AMD Ryzen 7 Up to 64GB RAM & 2TB SSD Pro",44900,✅Lifetime Office 2024+Win 11 Pro✅Fast Shipping ✅On Sale,0,True,
HP ProBook 650 G5 15.6” FHD Laptop Intel Core i5 16GB RAM 256GB SSD Windows 11,27519,Good - Refurbished · HP,0,True,369
Dell Latitude 5420 Rugged Laptop 14” FHD Core i7 16GB RAM 256GB SSD Win 11 Pro,48990,Good - Refurbished · Dell,0,True,55
Dell Latitude 7390 Laptop 13.3” Core i7 16GB RAM 256GB SSD Windows 11 Pro HDMI,26850,Very Good - Refurbished · Dell,0,True,315
"~OVERSTOCK SALE~ 15.6"" FHD DELL Laptop PC: i7-8665U (16GB RAM, 256GB NVME SSD)",32438,Windows 11 Pro! Backlit Keyboard! 1 Year Warranty,0,True,13
"MSI Titan GT77 HX  13V"" 4K HDR 144hz Mini-LED 128GB RAM  8TB  w/ RTX 4090!!",350000,Pre-Owned · MSI · 4 TB,0,,
"15.6"" DELL Latitude Laptop: i7-8650U, 8GB RAM - 256GB NVME SSD, Windows 11 Pro",31008,Backlit Keyboard! Windows 11 Pro! 1920 x 1080P,0,True,33
"18.5"" Laptop 24GB RAM 1TB SSD,Windows 11 Pro Notebook Computer,MS Office 365,Int",29900,Brand New · Intel · 24 GB,0,,
Lenovo Legion Pro 5 (READ DESCRIPTION),20000,Parts Only · Lenovo · 1 TB,1528,,
"Dell Chromebook 3100 (11.6"", Intel Celeron, 4GB RAM, 16GB, ChromeOS)  NO Charger",2599,Pre-Owned · Dell,0,,943
"Acer Aspire 3 A315-24PT-R288 15.6"" Laptop Full HD AMD 16GB RAM 1TB SSD",33999,Certified - Refurbished · Acer,0,True,186
